"Timestamp","Pod","CPU","Memory"
"2026-09-24 22:34:31","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:34:31","cartservice-846f67dc67-2h7q8","4m","63Mi"
"2026-09-24 22:34:31","checkoutservice-6d5bbfc8d6-55hd9","1m","8Mi"
"2026-09-24 22:34:31","currencyservice-7b464d8f4-qlc88","5m","35Mi"
"2026-09-24 22:34:31","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:34:31","frontend-5b8448977c-5jxjk","10m","12Mi"
"2026-09-24 22:34:31","loadgenerator-6fff97bdcb-cgwr5","4m","52Mi"
"2026-09-24 22:34:31","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:34:31","productcatalogservice-6b76846956-dctmj","5m","8Mi"
"2026-09-24 22:34:31","recommendationservice-7fdb6dcfbd-pq5f7","6m","31Mi"
"2026-09-24 22:34:31","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:34:31","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:35:04","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:35:04","cartservice-846f67dc67-2h7q8","7m","63Mi"
"2026-09-24 22:35:04","checkoutservice-6d5bbfc8d6-55hd9","1m","8Mi"
"2026-09-24 22:35:04","currencyservice-7b464d8f4-qlc88","9m","35Mi"
"2026-09-24 22:35:04","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:35:04","frontend-5b8448977c-5jxjk","15m","12Mi"
"2026-09-24 22:35:04","loadgenerator-6fff97bdcb-cgwr5","4m","52Mi"
"2026-09-24 22:35:04","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:35:04","productcatalogservice-6b76846956-dctmj","8m","8Mi"
"2026-09-24 22:35:04","recommendationservice-7fdb6dcfbd-pq5f7","7m","31Mi"
"2026-09-24 22:35:04","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:35:04","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:35:36","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:35:36","cartservice-846f67dc67-2h7q8","7m","63Mi"
"2026-09-24 22:35:36","checkoutservice-6d5bbfc8d6-55hd9","2m","7Mi"
"2026-09-24 22:35:36","currencyservice-7b464d8f4-qlc88","9m","35Mi"
"2026-09-24 22:35:36","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:35:36","frontend-5b8448977c-5jxjk","14m","12Mi"
"2026-09-24 22:35:36","loadgenerator-6fff97bdcb-cgwr5","5m","52Mi"
"2026-09-24 22:35:36","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:35:36","productcatalogservice-6b76846956-dctmj","7m","8Mi"
"2026-09-24 22:35:36","recommendationservice-7fdb6dcfbd-pq5f7","7m","31Mi"
"2026-09-24 22:35:36","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:35:36","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:36:09","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:36:09","cartservice-846f67dc67-2h7q8","6m","63Mi"
"2026-09-24 22:36:09","checkoutservice-6d5bbfc8d6-55hd9","1m","7Mi"
"2026-09-24 22:36:09","currencyservice-7b464d8f4-qlc88","8m","35Mi"
"2026-09-24 22:36:09","emailservice-59df94958d-t48wk","2m","36Mi"
"2026-09-24 22:36:09","frontend-5b8448977c-5jxjk","10m","12Mi"
"2026-09-24 22:36:09","loadgenerator-6fff97bdcb-cgwr5","4m","52Mi"
"2026-09-24 22:36:09","paymentservice-6db878877b-bcp6p","1m","33Mi"
"2026-09-24 22:36:09","productcatalogservice-6b76846956-dctmj","6m","8Mi"
"2026-09-24 22:36:09","recommendationservice-7fdb6dcfbd-pq5f7","6m","31Mi"
"2026-09-24 22:36:09","redis-cart-c4fc658fb-xjmxp","3m","5Mi"
"2026-09-24 22:36:09","shippingservice-578b659b76-h4xrf","1m","6Mi"
"2026-09-24 22:36:45","adservice-6dc7474b84-ch84q","2m","97Mi"
"2026-09-24 22:36:45","cartservice-846f67dc67-2h7q8","8m","63Mi"
