"Pod","Samples","AvgCPU_m","MaxCPU_m","AvgMemory_Mi","MaxMemory_Mi"
"shippingservice-578b659b76-h4xrf","10","1","1","6","6"
"paymentservice-6db878877b-bcp6p","10","1.2","3","33","33"
"checkoutservice-6d5bbfc8d6-55hd9","10","1.4","2","7.6","8"
"adservice-6dc7474b84-ch84q","10","2","2","97.1","98"
"emailservice-59df94958d-t48wk","10","2.1","3","36","36"
"redis-cart-c4fc658fb-xjmxp","10","3","3","5","5"
"loadgenerator-6fff97bdcb-cgwr5","10","4.6","5","52","52"
"cartservice-846f67dc67-2h7q8","10","6.4","8","63","63"
"productcatalogservice-6b76846956-dctmj","10","6.6","8","8","8"
"recommendationservice-7fdb6dcfbd-pq5f7","10","6.9","9","31","31"
"currencyservice-7b464d8f4-qlc88","10","8.2","11","35","35"
"frontend-5b8448977c-5jxjk","10","13.5","16","12","12"
